-220	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360	370	380	390	400	410	420
360	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	5	2	0	0	2	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100
350	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	5	2	0	0	2	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100
340	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	10	5	2	0	0	2	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100
330	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10	5	0	0	0	0	0	10	10	10	10	100	100	100	100	50	50	20	20	20	100
320	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10	5	0	0	0	0	0	0	5	5	10	50	50	50	50	50	50	20	20	20	100
310	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	5	10	10	10	10	10	20	20	20	20	100
300	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	5	5	5	5	5	10	10	10	10	5
290	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2
280	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
260	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
250	100	100	100	50	50	50	50	50	50	10	10	10	10	10	10	10	10	10	10	10	10	10	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	5
240	100	100	100	50	50	50	50	50	50	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	10	10	100
230	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	10	50	50	100
220	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	20	50	50	100
210	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	20	50	50	100
200	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	20	50	50	100
190	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	20	20	50	50	100
180	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	5	5	5	10	20	20	50	50	100
170	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	10	10	10	10	10	10	10	10	10	10	5	5	20	20	50	50	100
160	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	50	50	50	50	50	50	50	50	50	50	5	5	20	20	50	50	100
150	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	50	50	50	50	50	50	50	50	50	50	5	5	20	20	50	50	100
140	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	50	50	50	50	50	50	50	50	50	50	5	5	20	20	50	50	100
130	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	50	50	50	50	50	50	50	50	50	50	5	5	20	20	50	50	100
120	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	50	50	50	50	50	50	50	50	50	50	5	5	20	20	50	50	100
110	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	50	50	50	50	50	50	50	50	50	50	5	5	20	20	50	50	100
100	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
90	100	100	100	50	50	50	50	50	50	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
80	10	10	10	10	10	10	10	10	10	10	5	0	0	0	0	0	0	0	0	0	0	0	0	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
70	5	5	5	5	5	5	5	5	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	5	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
40	5	5	5	0	0	0	0	0	0	0	0	5	5	5	5	5	10	10	10	10	10	10	10	10	10	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
30	10	10	10	0	0	0	5	5	5	5	5	10	10	10	10	10	50	50	50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
20	100	100	100	10	5	5	10	10	10	10	10	50	50	50	50	50	50	50	50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
10	100	100	100	10	10	10	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
0	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
-10	100	100	100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
-20	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
